manager_id,year,team_id
gardero01,2004,MIN
torrejo01,2004,NYA
machake01,2004,OAK
melvibo01,2004,SEA
pinielo01,2004,TBA
showabu99,2004,TEX
toscaca99,2004,TOR
gibbojo02,2004,TOR
brenlbo01,2004,ARI
pedrial01,2004,ARI
coxbo01,2004,ATL
bakerdu01,2004,CHN
mileyda99,2004,CIN
hurdlcl01,2004,COL
mckeoja99,2004,FLO
williji03,2004,HOU
garneph01,2004,HOU
tracyji01,2004,LAN
yostne01,2004,MIL
robinfr02,2004,MON
howear01,2004,NYN
bowala01,2004,PHI
varshga01,2004,PHI
mcclell01,2004,PIT
bochybr01,2004,SDN
aloufe01,2004,SFN
larusto01,2004,SLN
mazzile01,2005,BAL
perlosa01,2005,BAL
francte01,2005,BOS
guilloz01,2005,CHA
wedgeer01,2005,CLE
trammal01,2005,DET
penato01,2005,KCA
schaebo99,2005,KCA
bellbu01,2005,KCA
sciosmi01,2005,LAA
gardero01,2005,MIN
torrejo01,2005,NYA
machake01,2005,OAK
hargrmi01,2005,SEA
pinielo01,2005,TBA
showabu99,2005,TEX
gibbojo02,2005,TOR
melvibo01,2005,ARI
coxbo01,2005,ATL
bakerdu01,2005,CHN
mileyda99,2005,CIN
narroje01,2005,CIN
hurdlcl01,2005,COL
mckeoja99,2005,FLO
garneph01,2005,HOU
tracyji01,2005,LAN
yostne01,2005,MIL
randowi01,2005,NYN
manuech01,2005,PHI
mcclell01,2005,PIT
mackape01,2005,PIT
bochybr01,2005,SDN
aloufe01,2005,SFN
larusto01,2005,SLN
robinfr02,2005,WAS
perlosa01,2006,BAL
francte01,2006,BOS
guilloz01,2006,CHA
wedgeer01,2006,CLE
leylaji99,2006,DET
bellbu01,2006,KCA
sciosmi01,2006,LAA
gardero01,2006,MIN
torrejo01,2006,NYA
machake01,2006,OAK
hargrmi01,2006,SEA
maddojo99,2006,TBA
showabu99,2006,TEX
gibbojo02,2006,TOR
melvibo01,2006,ARI
coxbo01,2006,ATL
bakerdu01,2006,CHN
narroje01,2006,CIN
hurdlcl01,2006,COL
girarjo01,2006,FLO
garneph01,2006,HOU
littlgr99,2006,LAN
yostne01,2006,MIL
randowi01,2006,NYN
manuech01,2006,PHI
tracyji01,2006,PIT
bochybr01,2006,SDN
aloufe01,2006,SFN
larusto01,2006,SLN
robinfr02,2006,WAS
perlosa01,2007,BAL
trembda99,2007,BAL
francte01,2007,BOS
guilloz01,2007,CHA
wedgeer01,2007,CLE
leylaji99,2007,DET
bellbu01,2007,KCA
sciosmi01,2007,LAA
gardero01,2007,MIN
torrejo01,2007,NYA
gerenbo01,2007,OAK
hargrmi01,2007,SEA
mclarjo99,2007,SEA
maddojo99,2007,TBA
washiro01,2007,TEX
gibbojo02,2007,TOR
melvibo01,2007,ARI
coxbo01,2007,ATL
pinielo01,2007,CHN
narroje01,2007,CIN
mackape01,2007,CIN
hurdlcl01,2007,COL
gonzafr99,2007,FLO
garneph01,2007,HOU
coopece01,2007,HOU
littlgr99,2007,LAN
yostne01,2007,MIL
randowi01,2007,NYN
manuech01,2007,PHI
tracyji01,2007,PIT
blackbu02,2007,SDN
bochybr01,2007,SFN
larusto01,2007,SLN
actama99,2007,WAS
trembda99,2008,BAL
francte01,2008,BOS
guilloz01,2008,CHA
wedgeer01,2008,CLE
leylaji99,2008,DET
hillmtr99,2008,KCA
sciosmi01,2008,LAA
gardero01,2008,MIN
girarjo01,2008,NYA
gerenbo01,2008,OAK
mclarjo99,2008,SEA
rigglji99,2008,SEA
maddojo99,2008,TBA
washiro01,2008,TEX
gibbojo02,2008,TOR
gastoci01,2008,TOR
melvibo01,2008,ARI
coxbo01,2008,ATL
pinielo01,2008,CHN
bakerdu01,2008,CIN
hurdlcl01,2008,COL
gonzafr99,2008,FLO
coopece01,2008,HOU
torrejo01,2008,LAN
yostne01,2008,MIL
sveumda01,2008,MIL
randowi01,2008,NYN
manueje01,2008,NYN
manuech01,2008,PHI
russejo02,2008,PIT
blackbu02,2008,SDN
bochybr01,2008,SFN
larusto01,2008,SLN
actama99,2008,WAS
trembda99,2009,BAL
francte01,2009,BOS
guilloz01,2009,CHA
wedgeer01,2009,CLE
leylaji99,2009,DET
hillmtr99,2009,KCA
sciosmi01,2009,LAA
gardero01,2009,MIN
girarjo01,2009,NYA
gerenbo01,2009,OAK
wakamdo01,2009,SEA
maddojo99,2009,TBA
washiro01,2009,TEX
gastoci01,2009,TOR
melvibo01,2009,ARI
hinchaj01,2009,ARI
coxbo01,2009,ATL
pinielo01,2009,CHN
bakerdu01,2009,CIN
hurdlcl01,2009,COL
tracyji01,2009,COL
gonzafr99,2009,FLO
coopece01,2009,HOU
clarkda05,2009,HOU
torrejo01,2009,LAN
machake01,2009,MIL
manueje01,2009,NYN
manuech01,2009,PHI
russejo02,2009,PIT
blackbu02,2009,SDN
bochybr01,2009,SFN
larusto01,2009,SLN
actama99,2009,WAS
rigglji99,2009,WAS
trembda99,2010,BAL
samueju01,2010,BAL
showabu99,2010,BAL
francte01,2010,BOS
guilloz01,2010,CHA
actama99,2010,CLE
leylaji99,2010,DET
hillmtr99,2010,KCA
yostne01,2010,KCA
sciosmi01,2010,LAA
